x,y
2609137,1200504
2609074,1200498
2609341,1200548
2609204,1200537
2610030,1201265
2609791,1201043
2609354,1201522
2609427,1201808
2609761,1203742
2610588,1202650
2611196,1199923
2611201,1200077
2613363,1201970
2611307,1201432
2610162,1201567
2607867,1200844
2609494,1200465
2608349,1200184
2607565,1200365
2607534,1200391
2609515,1200514
2609520,1200517
2609421,1201278
2608434,1200323
2609404,1200484
2608439,1200340
2609354,1200443
2609459,1200531
2609376,1201418
2609239,1200428
2609108,1199694
2612139,1200623
2608095,1200434
2607630,1200937
2608443,1200084
2609230,1200348
2610005,1201198
2590061,1205072
2590405,1204934
2595243,1202026
2595705,1203898
2590213,1204533
2590413,1205126
2590066,1204999
2590165,1204957
2590130,1204938
2590827,1205201
2590692,1203429
2590447,1203432
2590990,1202121
2592337,1205077
2592347,1205055
2592245,1204996
2591994,1204725
2592614,1204695
2592550,1204704
2592357,1204532
2591894,1204468
2592426,1203738
2592392,1202715
2593728,1202906
2593777,1202914
2593842,1202922
2593566,1202666
2594138,1202950
2594134,1202885
2593890,1202559
2593911,1202542
2593943,1202559
2594120,1202661
2593830,1202366
2593985,1202228
2593981,1202276
2593986,1202330
2593947,1202380
2593954,1202515
2596268,1204161
2595857,1204156
2595955,1204235
2595748,1205352
2595958,1204135
2595653,1203843
2594990,1204189
2595773,1203897
2595688,1203871
2595685,1203795
2596375,1203992
2596242,1204000
2595951,1203842
2595968,1203804
2595975,1203693
2596366,1202311
2597644,1202681
2595198,1202057
2595191,1202058
2595037,1202039
2595904,1201890
2595658,1201724
2595676,1201764
2595758,1201868
2596328,1201994
2596294,1201993
2596280,1201888
2596328,1201898
2596321,1201921
2596444,1201930
2595391,1201475
2594888,1201759
2596367,1202403
2595357,1201926
2593933,1203125
2596003,1203970
2594101,1201848
2590868,1203331
2589982,1204955
2590258,1205003
2592592,1202423
2592385,1202553
2596102,1204141
